,City,Temperature(F),Humidity(%),Cloudiness(%),Wind Speed(mph),Latitude,Longitude
99,port hardy,55.58,58,75,10.36,50.6996,-127.4199
100,kysyl-syr,27.3,91,100,1.63,63.8986,122.7617
101,longyearbyen,30.04,93,100,5.75,78.2186,15.6401
102,kloulklubed,81.1,77,48,17.92,7.0419,134.2556
103,hauterive,45.36,96,19,1.86,46.0901,3.4459
104,puerto escondido,82.36,72,10,5.14,15.85,-97.0667
105,attawapiskat,,,,,,
106,srednekolymsk,24.57,87,100,6.49,67.45,153.6833
107,metro,79.59,84,100,2.84,-5.1131,105.3067
108,bell ville,57.79,67,76,7.38,-32.6259,-62.6887
109,saint-philippe,75.11,88,57,10.42,-21.3585,55.7679
110,tangzhai,73.26,56,10,7.9,34.4328,116.5911
111,tasiilaq,32.16,96,100,15.79,65.6145,-37.6368
112,victoria,76.62,88,64,8.01,22.2855,114.1577
113,barrow,15.82,67,0,20.71,71.2906,-156.7887
114,sioux lookout,35.67,69,75,9.22,50.1001,-91.917
115,englewood,74.34,22,40,19.57,39.6478,-104.9878
116,chokurdakh,12.72,92,99,2.59,70.6333,147.9167
117,taltal,64.94,79,5,6.46,-25.4,-70.4833
118,taolanaro,,,,,,
119,agsu,,,,,,
120,san ignacio,89.74,51,20,11.5,17.1561,-89.0714
121,georgetown,80.31,88,20,5.01,5.4112,100.3354
122,buon me thuot,,,,,,
123,saint-pierre,74.98,83,20,16.11,-21.3393,55.4781
124,calvinia,64.35,45,45,4.21,-31.4707,19.776
125,port elizabeth,63.1,90,0,14.97,-33.918,25.5701
126,olafsvik,46.04,90,67,6.17,64.8945,-23.7142
127,zavetnoye,50.86,64,100,6.67,47.1194,43.8903
128,vilyuysk,25.88,88,96,3.6,63.7553,121.6247
129,belushya guba,,,,,,
130,piacabucu,76.93,86,21,6.17,-10.4056,-36.4344
131,along,70.21,89,98,0.69,28.1667,94.7667
132,poli,58.35,96,99,2.08,-3.3333,36.8
133,halalo,,,,,,
134,parana,66.07,86,65,6.89,-31.732,-60.5238
135,kirakira,84.2,75,90,6.93,-10.4544,161.9205
136,leo,82.31,59,87,7.05,11.1,-2.1
137,bubaque,76.12,76,98,16.49,11.2833,-15.8333
138,qasigiannguit,39.45,69,100,19.73,68.8193,-51.1922
139,sinnamary,74.62,95,100,6.11,5.3833,-52.95
140,sao filipe,72.66,78,100,4.25,14.8961,-24.4956
141,luba,78.69,81,100,4.41,3.4568,8.5547
142,belmonte,75.96,74,0,6.38,-15.8631,-38.8828
143,barentsburg,,,,,,
144,san patricio,78.12,86,11,17.29,28.017,-97.5169
145,sobolevo,35.94,91,6,7,54.4299,31.8996
146,sao joao da barra,73.51,79,43,5.99,-21.6403,-41.0511
147,zapolyarnyy,34.88,98,100,13.69,69.4154,30.8136
148,najran,72.25,21,6,3.04,17.4924,44.1277
149,cherskiy,23.67,90,100,7.7,68.75,161.3
150,ixtapa,76.23,83,1,4,20.7,-105.2
151,nichinan,65.88,62,29,2.24,31.6,131.3667
152,gamboula,67.17,95,100,1.72,4.1178,15.1393
153,saint-augustin,30.02,93,100,5.28,51.226,-58.6502
154,fare,78.51,80,53,12.28,-16.7,-151.0167
155,radcliff,63.63,83,100,3.44,37.8404,-85.9491
156,catuday,84.83,62,0,9.75,16.2923,119.8062
157,patiya,78.24,83,5,4.03,22.2931,91.9762
158,sarakhs,59.14,72,4,2.3,36.5449,61.1577
159,san cristobal,71.78,94,95,1.81,7.7669,-72.225
160,aripuana,72.84,99,97,1.07,-9.1667,-60.6333
161,novi pazar,43.83,98,100,1.59,43.1367,20.5122
162,ambilobe,71.17,97,78,4.68,-13.2,49.05
163,clyde river,-0.17,85,100,12.66,70.4692,-68.5914
164,lahij,72.82,62,5,5.1,13.1667,44.5833
165,niwari,78.15,38,3,4.03,28.8833,77.5333
166,tabor,41.76,89,37,8.19,49.4144,14.6578
167,matamoros,82.44,28,0,19.13,25.5333,-103.25
168,roebourne,84.92,23,96,18.63,-20.7833,117.1333
169,sola,81.27,89,100,0,-13.8833,167.55
170,alushta,43.47,79,9,1.83,44.6667,34.4167
171,treinta y tres,55.47,50,83,1.92,-33.2333,-54.3833
172,wuan,70.9,73,100,3.24,31.6836,112.0044
173,arraial do cabo,73.22,81,9,7.16,-22.9661,-42.0278
174,ust-nera,21.52,85,100,2.8,64.5667,143.2
175,san policarpo,84.63,70,83,12.59,12.1791,125.5072
176,chagda,,,,,,
177,itarema,77.07,91,72,7.43,-2.9248,-39.9167
178,olga,56.21,62,95,10.89,43.7444,135.2892
179,gisborne,65.23,93,100,3.58,-38.6533,178.0042
180,illoqqortoormiut,,,,,,
181,iwanai,62.67,52,10,7.25,42.9744,140.5089
182,smithers,55.72,26,40,3.44,54.7804,-127.1743
183,maragogi,76.98,85,84,0.56,-9.0122,-35.2225
184,dioknisi,41.32,92,77,3.02,41.6293,42.3917
185,bilibino,22.55,83,89,2.91,68.0546,166.4372
186,nanakuli,78.13,73,75,10.36,21.3906,-158.1547
187,bilma,85.46,11,0,6.8,18.6853,12.9164
188,glazunovka,39.99,83,24,6.87,52.4986,36.3275
189,aklavik,18.57,78,67,5.26,68.2191,-135.0107
190,kostelec na hane,40.23,87,44,3,49.514,17.0582
191,roma,51.98,81,75,11.5,43.2128,-75.4557
192,marawi,77.92,71,100,2.95,7.9986,124.2928
193,ilulissat,32.59,74,100,11.61,69.2167,-51.1
194,balvi,39.96,93,24,4.52,57.1313,27.2658
195,grand river south east,,,,,,
196,saskylakh,9.81,94,100,5.44,71.9167,114.0833
197,qaqortoq,34.68,89,100,2.55,60.7167,-46.0333
198,hithadhoo,84.33,68,23,10.8,-0.6,73.0833
199,aykhal,13.75,89,88,6.58,66,111.5
200,townsville,72.48,88,75,10.36,-19.25,146.8
201,padang,78.85,74,87,3.78,-0.9492,100.3543
202,bristol,49.87,77,40,10,41.8334,-71.1662
203,port lincoln,62.78,64,96,14.27,-34.7333,135.8667
204,araouane,79.3,12,72,9.4,18.9048,-3.5265
205,dicabisagan,84.33,73,6,6.24,17.0818,122.4157
206,novoagansk,7.63,92,98,5.79,61.9449,76.6625
207,mukhen,55.47,51,100,6.15,48.1,136.1
208,puerto palomas,84.85,10,0,18.34,31.7667,-107.6167
209,douentza,84.42,12,100,5.77,14.9951,-2.9517
210,mayo,58.39,73,100,12.66,38.8876,-76.5119
211,pimenta bueno,72.81,96,100,2.37,-11.6725,-61.1936
212,umm lajj,75.45,60,0,7.92,25.0213,37.2685
213,opobo,,,,,,
214,nador,59.25,67,0,6.91,35.174,-2.9287
215,opuwo,64.02,49,8,5.64,-18.0607,13.84
216,baturaja,77.05,92,91,1.23,-4.1333,104.1667
217,rosario,65.12,64,0,3.44,-32.9468,-60.6393
218,eskisehir,46.92,66,0,1.19,39.7767,30.5206
219,east london,72.12,62,100,8.99,-33.0153,27.9116
220,egvekinot,23.94,84,100,2.84,66.3167,-179.1667
221,danshui,76.78,78,100,3.83,22.7984,114.4672
222,fort frances,41.22,52,20,3.44,48.5999,-93.4003
223,vinukonda,77.88,88,6,3.65,16.05,79.75
224,husavik,42.91,88,26,9.57,66.0449,-17.3389
225,laguna,61.7,62,100,10.36,38.421,-121.4238
226,dutse,86.09,22,18,4.32,11.7594,9.3392
227,mount isa,83.97,37,11,12.66,-20.7333,139.5
228,manta,78.58,78,75,6.91,-0.95,-80.7333
229,torbay,32.61,81,0,5.75,47.6666,-52.7314
230,marsala,50.02,87,0,5.75,37.7966,12.4352
231,lakes entrance,62.17,56,6,5.17,-37.8811,147.981
232,esfarayen,49.66,41,37,2.71,37.0765,57.5101
233,grahamstown,56.95,68,23,3.67,-33.3042,26.5328
234,lompoc,61.61,79,75,11.99,34.6391,-120.4579
235,yelizovo,48.34,49,0,4.47,53.1873,158.3805
236,remuna,79.05,86,20,7.65,21.5261,86.8722
237,victor harbor,60.01,64,56,1.01,-35.5667,138.6167
238,inhambane,70.86,79,77,4.81,-23.865,35.3833
239,lebu,53.73,96,100,4.09,-37.6167,-73.65
240,muros,48.85,93,100,13.13,42.7762,-9.0603
241,sarankhola,82.76,75,22,8.34,22.3082,89.7897
242,anadyr,30,86,40,4.47,64.75,177.4833
243,debre birhan,51.49,73,68,2.86,9.6833,39.5333
244,chiredzi,63.28,96,89,2.15,-21.05,31.6667
245,avarua,80.65,57,75,17.27,-21.2078,-159.775
246,touros,78.8,85,100,9.48,-5.1989,-35.4608
247,samalaeulu,,,,,,
248,port keats,88.36,37,96,12.01,-14.25,129.55
249,santa cruz,76.46,88,40,5.75,-17.8,-63.1667
250,patrocinio,67.03,54,40,3.11,-18.9439,-46.9925
251,caravelas,73.54,77,0,5.08,-17.7125,-39.2481
252,hualmay,67.75,85,63,10.63,-11.0964,-77.6139
253,dunedin,53.8,58,15,10,-45.8742,170.5036
254,gazimurskiy zavod,38.41,41,44,10.58,51.5461,118.3266
255,labuhan,80.13,80,100,5.7,-6.8844,112.2051
256,bodden town,80.74,74,75,13.8,19.2833,-81.25
257,ballybofey,41.99,96,17,4.12,54.8,-7.7833
258,cabo san lucas,81.7,57,4,13.56,22.8909,-109.9124
259,avera,65.75,69,11,1.66,33.194,-82.5271
260,bawal,78.76,37,12,3.27,28.0833,76.5833
261,ust-kan,38.1,90,100,7.52,50.9276,84.761
262,manzil tamim,,,,,,
263,nemuro,43.9,97,100,15.93,43.3236,145.575
264,namibe,71.94,85,80,5.06,-15.1961,12.1522
265,talnakh,11.12,83,25,2.39,69.4865,88.3972
266,biak,82.38,73,82,1.52,-0.9131,122.8766
267,novokayakent,52.59,73,1,8.57,42.3937,47.9861
268,broken hill,56.91,67,23,13.8,-31.95,141.4333
269,kaeo,72.32,81,20,11.41,-35.1,173.7833
270,khatanga,9.43,92,93,9.71,71.9667,102.5
271,okhotsk,27.07,91,93,3.69,59.3833,143.3
272,bengkulu,79.18,78,72,3.58,-3.8004,102.2655
273,trelew,53.38,77,100,12.77,-43.249,-65.3051
274,lorengau,85.51,68,100,9.15,-2.0226,147.2712
275,quimper,48.78,81,0,8.05,48,-4.1
276,chara,24.57,67,100,5.3,56.9064,118.2631
277,yirol,,,,,,
278,conakry,78.71,77,100,8.93,9.538,-13.6773
279,ankazobe,62.76,96,100,4.5,-18.3167,47.1167
280,revelstoke,50.02,62,100,11.5,50.9832,-118.2023
281,san jose de guanipa,83.14,52,98,9.24,8.8872,-64.1651
282,lillooet,52.57,55,100,3.4,50.6856,-121.942
283,trinidad,75.6,88,85,4.21,-14.8333,-64.9
284,san rafael,61.16,40,100,3.04,-34.6177,-68.3301
285,plettenberg bay,62.37,91,90,7.02,-34.0527,23.3716
286,tete,73.49,100,75,0,-16.1564,33.5867
287,ganta,71.11,99,100,0.4,7.3022,-8.5308
288,antsohihy,72.91,90,100,3.09,-14.8796,47.9875
289,alexandria,53.56,76,40,4.61,31.2156,29.9553
290,fengcheng,54.45,46,4,16.42,40.4536,124.0717
291,santa isabel,64.83,86,0,2.21,-23.3156,-46.2214
292,santa cruz del sur,76.21,81,0,17.45,20.7147,-77.9956
293,te anau,50.47,65,88,2.89,-45.4167,167.7167
294,zachagansk,,,,,,
295,mustasaari,33.75,93,0,1.14,63.1142,21.6822
296,prieska,65.19,49,0,6.33,-29.6641,22.7474
297,fort nelson,42.39,39,20,6.91,58.8053,-122.7002
298,thompson,39.36,26,20,4.61,55.7435,-97.8558
299,bantou,77.23,72,100,2.17,26.2151,117.4893
300,paradwip,,,,,,
301,adelaide,62.85,55,20,13.8,-34.9333,138.6
302,palu,80.56,86,100,0.4,-0.8917,119.8707
303,petropavlovsk-kamchatskiy,46.99,49,0,4.47,53.0452,158.6483
304,arrecife,60.78,72,0,5.75,28.963,-13.5477
305,vostok,56.75,41,100,6.4,46.4856,135.8833
306,rawson,54.52,75,100,16.78,-43.3002,-65.1023
307,comodoro rivadavia,48.06,81,75,13.8,-45.8667,-67.5
308,agaro,62.26,94,98,1.03,7.85,36.65
309,pangnirtung,7.27,99,100,4.05,66.1451,-65.7125
310,manica,46.24,95,75,5.75,49,-1.1667
311,antu,85.6,40,24,5.41,26.05,81.9167
312,kuche,,,,,,
313,wahran,,,,,,
314,kamenskoye,,,,,,
315,mattru,78.19,89,86,1.61,7.6244,-11.8332
316,sangar,24.17,88,100,3.74,63.9242,127.4739
317,kodiak,40.51,70,100,23.02,57.79,-152.4072
318,marcona,,,,,,
319,narsaq,33.89,89,100,1.5,60.9167,-46.05
320,vardo,37.49,98,100,9.6,70.3705,31.1107
321,cap-aux-meules,37.42,56,75,14.97,47.3821,-61.8597
322,limoeiro do ajuru,76.28,90,100,2.15,-1.8953,-49.3806
323,praia da vitoria,55.65,71,20,21.41,38.7333,-27.0667
324,nome,41.07,49,0,9.22,64.5011,-165.4064
325,maldonado,54.79,75,35,4,-34.6667,-54.9167
326,huangcun,71.11,67,100,2.59,30.0145,118.4037
327,walvis bay,68.22,62,0,3.94,-22.9575,14.5053
328,san carlos,78.94,77,84,3.78,9.6612,-68.5827
329,halifax,39.58,72,100,13.8,44.6453,-63.5724
330,nueva loja,69.75,98,100,1.9,0.0847,-76.8828
331,pareora,57.18,48,72,22.46,-44.4871,171.2132
332,the valley,78.66,75,72,21.5,18.217,-63.0578
333,mahebourg,75.49,88,75,6.91,-20.4081,57.7
334,stornoway,46.18,91,12,11.5,58.2093,-6.3865
335,at-bashi,47.8,69,79,1.23,41.1702,75.8106
336,awbari,76.48,14,2,7.38,26.5921,12.7805
337,channel-port aux basques,34.02,65,100,3.31,47.5702,-59.1367
338,vazante,68.41,55,11,1.57,-17.9869,-46.9078
339,bairiki,86,74,40,12.66,1.3292,172.9752
340,china,82,59,52,22.17,25.7,-99.2333
341,matara,77.43,89,86,3.44,5.9485,80.5353
342,bambous virieux,75.45,88,75,6.91,-20.3428,57.7575
343,kahului,82.76,56,40,21.85,20.8947,-156.47
344,tondano,80.69,65,99,1.77,1.3038,124.9112
345,qurayyat,53.78,40,0,9.22,31.3318,37.3428
346,quincy,51.64,71,100,20.71,42.2529,-71.0023
347,amapa,72.23,100,100,3.11,1,-52
348,hobyo,82.72,70,71,11.5,5.3505,48.5268
349,nishihara,77.5,92,100,13.8,26.1842,127.7558
350,san pedro,85.53,71,20,3.44,14.35,121.0167
351,meulaboh,79.09,85,93,3.69,4.1363,96.1285
352,fort wayne,58.8,68,0,4.43,41.1306,-85.1289
353,patacamaya,47.19,77,25,8.61,-17.2333,-67.9167
354,gympie,72.18,55,100,11.34,-26.1898,152.665
355,asau,38.93,80,6,5.46,46.4333,26.4
356,maltahohe,61.05,43,0,6.67,-24.8333,16.9833
357,nizhniy tsasuchey,41.25,42,81,10.27,50.5167,115.1333
358,marzuq,68.2,35,36,6.06,14.4,46.4667
359,vestbygda,,,,,,
360,norman wells,32.04,47,75,11.5,65.282,-126.8329
361,ijaki,,,,,,
362,hokitika,57.79,66,77,18.75,-42.7167,170.9667
363,riyadh,78.94,24,100,12.62,24.6877,46.7219
364,seymchan,23,78,99,2.8,62.8833,152.4333
365,yulara,67.84,34,0,18.41,-25.2406,130.9889
366,geraldton,72.01,43,0,20.71,-28.7667,114.6
367,rabo de peixe,54.91,67,20,8.05,37.8,-25.5833
368,saint anthony,52.83,45,0,3.44,45.0205,-93.218
369,upernavik,10.71,89,100,11.79,72.7868,-56.1549
370,nanortalik,34.39,91,100,7.09,60.1432,-45.2371
371,kang,59.34,78,99,5.68,-23.6752,22.7876
372,malwan,,,,,,
373,rapid valley,69.08,30,75,26.46,44.0625,-103.1463
374,sitka,48.09,66,40,9.22,57.0531,-135.33
375,pakxan,78.08,75,81,2.17,18.3778,103.6601
376,zverevo,45.61,85,100,6.8,48.0211,40.1228
377,muyezerskiy,37.06,94,87,5.28,63.9333,31.65
378,saint george,81.36,9,0,34.52,37.1041,-113.5841
379,pacific grove,55.8,82,85,11.99,36.6177,-121.9166
380,suclayin,82.83,78,13,5.17,15.7568,121.5503
381,eyemouth,45.82,91,28,11.81,55.8713,-2.0901
382,klaksvik,43.72,90,95,15.26,62.2266,-6.589
383,opoczno,43.9,98,100,3.98,51.3757,20.2783
384,camacha,58.42,63,40,13.8,33.0833,-16.3333
385,jiwani,78.98,80,0,4.88,25.05,61.7417
386,raudeberg,46.87,84,1,18.39,61.9875,5.1352
387,dumai,79.14,82,100,1.48,1.6833,101.45
388,honningsvag,38.95,87,100,13.8,70.9821,25.9704
389,menongue,53.78,75,27,2.71,-14.6585,17.691
390,bur gabo,,,,,,
391,pevek,22.41,87,16,9.51,69.7008,170.3133
392,elbrus,30.49,96,97,6.91,43.2577,42.6443
393,cabatuan,84.74,69,13,11.77,10.8794,122.486
394,semporna,81.23,83,99,1.52,4.4818,118.6112
395,shangzhi,40.39,84,100,12.68,45.2167,127.9667
396,pisco,66.25,82,0,21.85,-13.7,-76.2167
397,borovoy,36.68,100,40,8.95,55.4333,86.0833
398,sooke,51.26,68,96,11.5,48.3746,-123.7276
399,acarau,77.74,90,70,8.55,-2.8856,-40.12
400,hofn,44.91,86,24,6.96,64.2539,-15.2082
401,karaul,,,,,,
402,pokrovsk,43.2,92,100,7.52,48.282,37.1758
403,chilca,67.1,89,85,6.73,-12.5211,-76.7372
404,dingle,84.58,71,17,11.59,10.9995,122.6711
405,talara,69.82,82,100,15.68,-4.5772,-81.2719
406,neiafu,83.08,78,40,8.05,-18.65,-173.9833
407,ayan,29.64,87,99,6.33,56.45,138.1667
408,la ronge,44.85,29,40,9.22,55.1001,-105.2842
409,ribeira grande,57.27,68,100,18.05,38.5167,-28.7
410,sydney,64.45,78,75,13.8,-33.8679,151.2073
411,agua dulce,79.88,75,5,14.23,18.1333,-94.1333
412,domoni,79.83,88,100,11.14,-12.2569,44.5319
413,fort carson,70.34,30,0,13.8,38.7375,-104.7889
414,thinadhoo,84.97,69,57,13.6,0.5333,72.9333
415,tumannyy,,,,,,
416,beira,77.09,94,75,11.5,-19.8436,34.8389
417,brae,46.2,85,100,18.97,60.3964,-1.353
418,port-gentil,80.56,83,100,7.7,-0.7193,8.7815
419,kalemie,69.15,91,100,2.82,-5.9475,29.1947
420,sri aman,77.05,88,20,3.44,1.2376,111.4621
421,udachnyy,19.45,85,98,6.6,66.4167,112.4
422,leoben,40.73,96,100,0.45,47.3461,15.1257
423,muisne,77.68,85,85,8.66,0.6,-80.0333
424,mergui,,,,,,
425,matagami,37.51,87,100,10.36,49.7502,-77.6328
426,champerico,77.54,68,58,6.76,14.3,-91.9167
427,half moon bay,58.77,72,40,20.71,37.4636,-122.4286
428,vila,38.7,93,100,3.47,42.0304,-8.1588
429,nanchang,75.22,68,100,5.88,28.6833,115.8833
430,palabuhanratu,,,,,,
431,manono,67.59,96,93,2.1,-7.3,27.4167
432,camana,68.32,83,92,6.02,-16.6228,-72.7111
433,marsh harbour,73.36,77,81,25.57,26.5412,-77.0636
434,bad driburg,46.94,96,99,5.99,51.7333,9.0167
435,tilichiki,23.7,80,100,6.62,60.4667,166.1
436,chokwe,64.81,92,12,0.45,-24.5333,32.9833
437,vila franca do campo,55.81,70,96,16.69,37.7167,-25.4333
438,klichka,40.03,37,92,12.84,50.4457,117.996
439,gillette,66.2,34,0,18.41,44.2911,-105.5022
440,peski,40.53,97,100,4.03,55.2163,38.7626
441,mahesana,77.67,55,36,4.97,23.6,72.4
442,kadykchan,,,,,,
443,dakar,69.93,88,0,16.11,14.6937,-17.4441
444,vaitupu,,,,,,
445,quatre cocos,77.09,72,99,12.8,-20.2078,57.7625
446,pryazha,25.83,97,33,1.23,61.6926,33.6216
447,arnia,67.59,53,1,2.21,32.5167,74.8
448,werda,62.6,75,99,7.16,-25.2667,23.2833
449,hambantota,77.34,100,20,2.3,6.1241,81.1185
450,jalu,68.11,25,1,16.15,29.0331,21.5482
451,chipinge,59.59,99,95,1.86,-20.1883,32.6236
452,tsabong,68.54,57,100,7.18,-26.0217,22.401
453,flin flon,32.7,82,62,3.44,54.7682,-101.865
454,katima mulilo,61.83,90,98,4.07,-17.5,24.2667
455,lukoyanov,36.21,94,100,7.36,55.0277,44.4786
456,karratha,85.14,24,100,19.1,-20.7377,116.8463
457,wanning,81.41,77,38,6.35,18.8003,110.3967
458,shiyan,74.05,56,6,1.81,32.6475,110.7781
459,belaya gora,22.14,86,100,7.83,68.5333,146.4167
460,samarai,84.33,73,97,11.77,-10.6167,150.6667
461,shimoda,67.1,72,0,18.75,34.6667,138.95
462,naron,49.87,88,100,7.54,43.5167,-8.1528
463,bandarbeyla,82.58,71,73,9.17,9.4942,50.8122
464,port hedland,87.85,12,100,19.57,-20.3167,118.5667
465,lewisporte,33.55,78,64,2.28,49.2499,-55.0482
466,umm kaddadah,79.54,14,99,15.95,13.6017,26.6876
467,yeppoon,73.18,83,100,20.71,-23.1333,150.7333
468,haibowan,,,,,,
469,boquim,71.19,96,31,3.24,-11.1469,-37.6206
470,vacaria,56.55,97,100,5.14,-28.5122,-50.9339
471,tomohon,79.74,68,98,2.3,1.3346,124.8392
472,vao,74.91,68,0,3.24,-22.6667,167.4833
473,bathsheba,79.41,69,40,14.97,13.2167,-59.5167
474,acapulco,84.02,61,0,0,16.8634,-99.8901
475,rocha,52.97,73,100,3.96,-34.4833,-54.3333
476,presidencia roque saenz pena,65.88,98,12,5.41,-26.7852,-60.4388
477,leningradskiy,23.76,86,100,3.09,69.3833,178.4167
478,mutoko,59.23,89,98,3.09,-17.397,32.2268
479,bluefield,53.69,91,99,3.83,37.2698,-81.2223
480,mao,55.96,88,75,11.5,39.8885,4.2658
481,utiroa,,,,,,
482,tulln,45.97,76,13,8.99,48.3283,16.0586
483,deputatskiy,14.72,86,71,3.36,69.3,139.9
484,monatele,,,,,,
485,faanui,78.89,79,51,12.39,-16.4833,-151.75
486,zhigansk,20.03,93,100,9.93,66.7697,123.3711
487,bhor,80.82,35,62,3.18,18.1667,73.85
488,andros town,73.36,74,100,23.98,24.7,-77.7667
489,xining,49.08,23,7,0.98,36.6167,101.7667
490,snasa,38.23,92,100,2.68,64.2457,12.3778
491,hargeysa,74.07,53,84,9.1,9.56,44.065
492,port blair,80.64,89,20,2.3,11.6667,92.75
